"timestamp","id","slug","name","symbol","ref_cur","open","high","low","close","volume","market_cap","time_open","time_close","time_high","time_low","date","TEU-ENG","TEU-USA","TEU-WGT","TEU-SCA","TMU-ENG","TMU-USA","TMU-WGT","TMU-SCA","VIX_Open","VIX_High","VIX_Low","VIX_Close","VIX_Adj Close","VIX_Volume","GOLD_US dollar...2","GVZCLS","return"
2013-04-29 23:59:59,1,"bitcoin","Bitcoin","BTC","USD",134.444000244141,147.488006591797,134,144.539993286133,0,1603768864.5,2013-04-29,2013-04-29 23:59:59,2013-04-29 13:15:01,2013-04-29 05:20:01,2013-04-29,177.734903471055,198.377616664763,170.304949930331,224.840138336107,37.1846864399203,40.1393348701146,36.5667343158467,43.2314210238763,13.72,13.94,13.36,13.71,13.71,0,1467.5,23.16,NA
2013-04-30 23:59:59,1,"bitcoin","Bitcoin","BTC","USD",144,146.929992675781,134.050003051758,139,0,1542813125,2013-04-30,2013-04-30 23:59:59,2013-04-30 08:25:02,2013-04-30 18:55:01,2013-04-30,47.5067493305866,51.6678096382793,64.0190546783287,65.4300086014967,54.5844371308822,59.7492084547334,58.8856000013092,72.364685905127,13.71,14.28,13.51,13.52,13.52,0,1469,22.09,-0.0390823062742529
2013-05-01 23:59:59,1,"bitcoin","Bitcoin","BTC","USD",139,139.889999389648,107.720001220703,116.98999786377,0,1298954593.75,2013-05-01,2013-05-01 23:59:59,2013-05-01 00:15:01,2013-05-01 19:55:01,2013-05-01,57.462729720169,99.9221828586434,91.2378622976071,132.88923504167,43.3079660508179,65.6208243931401,56.1810252655491,83.8726358721396,13.88,14.67,13.87,14.49,14.49,0,1454.75,22.93,-0.172385490331119
2013-05-02 23:59:59,1,"bitcoin","Bitcoin","BTC","USD",116.379997253418,125.599998474121,92.2818984985352,105.209999084473,0,1168517495.25,2013-05-02,2013-05-02 23:59:59,2013-05-02 14:25:01,2013-05-02 14:30:02,2013-05-02,77.8911000496326,91.0055089273156,88.8803722258067,107.655825647835,21.5100067671263,27.7736457825605,25.161837353348,31.1016981422227,14.48,14.48,13.58,13.59,13.59,0,1469.25,22.06,-0.106130098681278
2013-05-03 23:59:59,1,"bitcoin","Bitcoin","BTC","USD",106.25,108.127998352051,79.0999984741211,97.75,0,1085995168.75,2013-05-03,2013-05-03 23:59:59,2013-05-03 05:30:02,2013-05-03 03:05:01,2013-05-03,36.7518200794707,40.324725858964,38.3813271719059,41.5722118178416,17.220628657109,34.4121839248029,32.6592423328689,33.7517448379633,12.92,13.15,12.77,12.85,12.85,0,1469.25,20.37,-0.0735451452528202
2013-05-04 23:59:59,1,"bitcoin","Bitcoin","BTC","USD",98.0999984741211,115,92.5,112.5,0,1250316562.5,2013-05-04,2013-05-04 23:59:59,2013-05-04 07:15:01,2013-05-04 06:50:01,2013-05-04,41.8808736415759,49.520184218377,45.2453218895904,60.2797792671235,9.90972852524753,20.5053666703947,17.7259664970016,23.9845277926679,NA,NA,NA,NA,NA,NA,NA,NA,0.140540022779
2013-05-05 23:59:59,1,"bitcoin","Bitcoin","BTC","USD",112.900001525879,118.800003051758,107.142997741699,115.910003662109,0,1288693175.5,2013-05-05,2013-05-05 23:59:59,2013-05-05 04:20:01,2013-05-05 07:25:01,2013-05-05,32.7966382330024,31.5248305459015,25.5032718023204,37.9830457363156,17.3322938432318,12.6696483460348,25.949929611815,14.4804602125161,NA,NA,NA,NA,NA,NA,NA,NA,0.0298608378505964
2013-05-06 23:59:59,1,"bitcoin","Bitcoin","BTC","USD",115.980003356934,124.66300201416,106.639999389648,112.300003051758,0,1249023060,2013-05-06,2013-05-06 23:59:59,2013-05-06 14:25:01,2013-05-06 21:30:02,2013-05-06,51.879377229389,68.099778855068,65.294643586814,103.397337624011,16.9756177225723,26.7595565800764,24.7095623014722,38.6091936188078,13.06,13.19,12.66,12.66,12.66,0,1469.25,20.37,-0.0316401705756252
2013-05-07 23:59:59,1,"bitcoin","Bitcoin","BTC","USD",112.25,113.444000244141,97.6999969482422,111.5,0,1240593600,2013-05-07,2013-05-07 23:59:59,2013-05-07 14:40:01,2013-05-07 14:35:02,2013-05-07,43.9213342867687,45.9269419006927,40.4225299936746,50.9375230361688,20.870520079455,21.7269848926303,20.5985336940707,23.0466260517814,12.63,12.96,12.49,12.83,12.83,0,1444.25,22.07,-0.00714929801927267
2013-05-08 23:59:59,1,"bitcoin","Bitcoin","BTC","USD",109.599998474121,115.779998779297,109.599998474121,113.56600189209,0,1264049202.15,2013-05-08,2013-05-08 23:59:59,2013-05-08 07:55:01,2013-05-08 00:00:01,2013-05-08,30.8133478209602,36.8134357900265,33.8993018545271,46.1002609460728,20.9072939555673,22.7149007514716,20.6776519488246,27.3374874361466,12.87,13.04,12.62,12.66,12.66,0,1468,20.64,0.0183595914750187
