DATE,M3NS
1959-01-01,292.0
1959-02-01,289.9
1959-03-01,290.1
1959-04-01,292.5
1959-05-01,292.5
1959-06-01,294.8
1959-07-01,296.7
1959-08-01,297.0
1959-09-01,298.2
1959-10-01,298.9
1959-11-01,299.7
1959-12-01,302.4
1960-01-01,303.4
1960-02-01,300.4
1960-03-01,300.2
1960-04-01,302.4
1960-05-01,301.0
1960-06-01,303.1
1960-07-01,305.8
1960-08-01,307.7
1960-09-01,310.4
1960-10-01,312.5
1960-11-01,314.3
1960-12-01,318.0
1961-01-01,320.5
1961-02-01,319.9
1961-03-01,320.8
1961-04-01,324.2
1961-05-01,324.5
1961-06-01,327.5
1961-07-01,330.0
1961-08-01,331.0
1961-09-01,334.0
1961-10-01,336.8
1961-11-01,339.3
1961-12-01,343.7
1962-01-01,346.5
1962-02-01,346.2
1962-03-01,348.4
1962-04-01,352.7
1962-05-01,352.1
1962-06-01,355.0
1962-07-01,357.4
1962-08-01,358.3
1962-09-01,361.5
1962-10-01,365.3
1962-11-01,368.3
1962-12-01,374.0
1963-01-01,377.9
1963-02-01,377.3
1963-03-01,379.4
1963-04-01,383.9
1963-05-01,383.9
1963-06-01,387.4
1963-07-01,390.9
1963-08-01,392.5
1963-09-01,396.1
1963-10-01,400.1
1963-11-01,404.1
1963-12-01,408.7
1964-01-01,412.6
1964-02-01,411.4
1964-03-01,412.9
1964-04-01,416.8
1964-05-01,416.4
1964-06-01,420.8
1964-07-01,424.9
1964-08-01,427.0
1964-09-01,431.7
1964-10-01,436.2
1964-11-01,439.6
1964-12-01,445.5
1965-01-01,450.5
1965-02-01,448.9
1965-03-01,451.2
1965-04-01,455.7
1965-05-01,453.6
1965-06-01,458.5
1965-07-01,462.6
1965-08-01,464.5
1965-09-01,469.8
1965-10-01,475.4
1965-11-01,478.7
1965-12-01,485.5
1966-01-01,490.1
1966-02-01,487.1
1966-03-01,489.8
1966-04-01,495.3
1966-05-01,492.2
1966-06-01,495.7
1966-07-01,497.2
1966-08-01,497.5
1966-09-01,501.2
1966-10-01,502.0
1966-11-01,502.4
1966-12-01,508.6
1967-01-01,513.7
1967-02-01,513.0
1967-03-01,518.6
1967-04-01,523.8
1967-05-01,524.5
1967-06-01,532.0
1967-07-01,537.3
1967-08-01,540.9
1967-09-01,546.2
1967-10-01,550.8
1967-11-01,554.1
1967-12-01,560.9
1968-01-01,564.7
1968-02-01,561.4
1968-03-01,565.4
1968-04-01,570.5
1968-05-01,569.3
1968-06-01,575.4
1968-07-01,580.7
1968-08-01,584.5
1968-09-01,590.2
1968-10-01,596.4
1968-11-01,601.8
1968-12-01,610.0
1969-01-01,612.1
1969-02-01,606.2
1969-03-01,609.0
1969-04-01,613.2
1969-05-01,608.9
1969-06-01,612.0
1969-07-01,610.7
1969-08-01,606.6
1969-09-01,608.0
1969-10-01,609.3
1969-11-01,613.0
1969-12-01,618.2
1970-01-01,618.3
1970-02-01,610.3
1970-03-01,615.7
1970-04-01,624.2
1970-05-01,623.8
1970-06-01,629.0
1970-07-01,637.1
1970-08-01,643.6
1970-09-01,652.7
1970-10-01,660.5
1970-11-01,666.4
1970-12-01,678.2
1971-01-01,688.4
1971-02-01,692.7
1971-03-01,706.3
1971-04-01,718.9
1971-05-01,722.7
1971-06-01,732.1
1971-07-01,739.8
1971-08-01,743.1
1971-09-01,750.0
1971-10-01,758.3
1971-11-01,764.9
1971-12-01,776.6
1972-01-01,786.1
1972-02-01,789.2
1972-03-01,800.5
1972-04-01,813.2
1972-05-01,815.4
1972-06-01,827.0
1972-07-01,837.8
1972-08-01,846.1
1972-09-01,854.8
1972-10-01,863.6
1972-11-01,871.9
1972-12-01,886.2
1973-01-01,897.8
1973-02-01,901.7
1973-03-01,914.7
1973-04-01,927.8
1973-05-01,931.6
1973-06-01,943.5
1973-07-01,953.2
1973-08-01,959.5
1973-09-01,965.0
1973-10-01,970.2
1973-11-01,973.8
1973-12-01,985.2
1974-01-01,994.6
1974-02-01,997.2
1974-03-01,1010.0
1974-04-01,1025.6
1974-05-01,1028.5
1974-06-01,1040.4
1974-07-01,1047.3
1974-08-01,1049.6
1974-09-01,1052.6
1974-10-01,1057.2
1974-11-01,1060.5
1974-12-01,1070.8
1975-01-01,1076.8
1975-02-01,1076.3
1975-03-01,1088.7
1975-04-01,1100.8
1975-05-01,1105.0
1975-06-01,1121.2
1975-07-01,1131.9
1975-08-01,1135.5
1975-09-01,1144.5
1975-10-01,1151.8
1975-11-01,1161.6
1975-12-01,1173.3
1976-01-01,1183.2
1976-02-01,1186.7
1976-03-01,1202.1
1976-04-01,1221.7
1976-05-01,1226.6
1976-06-01,1237.9
1976-07-01,1249.9
1976-08-01,1258.6
1976-09-01,1266.8
1976-10-01,1280.4
1976-11-01,1291.9
1976-12-01,1313.6
1977-01-01,1324.6
1977-02-01,1327.6
1977-03-01,1345.2
1977-04-01,1366.2
1977-05-01,1371.2
1977-06-01,1388.2
1977-07-01,1405.2
1977-08-01,1414.0
1977-09-01,1426.9
1977-10-01,1442.8
1977-11-01,1456.4
1977-12-01,1476.2
1978-01-01,1488.9
1978-02-01,1489.8
1978-03-01,1509.7
1978-04-01,1533.1
1978-05-01,1538.7
1978-06-01,1553.7
1978-07-01,1571.2
1978-08-01,1581.9
1978-09-01,1597.0
1978-10-01,1612.9
1978-11-01,1631.0
1978-12-01,1652.6
1979-01-01,1660.6
1979-02-01,1661.8
1979-03-01,1680.5
1979-04-01,1703.7
1979-05-01,1703.7
1979-06-01,1725.1
1979-07-01,1746.6
1979-08-01,1761.8
1979-09-01,1783.6
1979-10-01,1798.4
1979-11-01,1800.7
1979-12-01,1815.2
1980-01-01,1826.4
1980-02-01,1835.4
1980-03-01,1848.5
1980-04-01,1856.0
1980-05-01,1858.4
1980-06-01,1880.3
1980-07-01,1906.3
1980-08-01,1923.9
1980-09-01,1935.5
1980-10-01,1956.7
1980-11-01,1979.7
1980-12-01,2000.8
1981-01-01,2023.5
1981-02-01,2033.1
1981-03-01,2055.4
1981-04-01,2087.6
1981-05-01,2093.5
1981-06-01,2112.0
1981-07-01,2140.1
1981-08-01,2162.1
1981-09-01,2181.7
1981-10-01,2209.5
1981-11-01,2233.0
